"module","cor","p"
"MElightgreen",-0.544510898448714,0.000596263327435486
"MEgrey",0.518406180306846,0.00119989409042111
"MEnavajowhite2",0.306810250559455,0.0687480645920653
"MEdarkorange",0.304440389171552,0.0710274413879567
"MEfloralwhite",-0.288081595358865,0.088414389593529
"MEplum1",-0.276008531885122,0.10322107132405
"MEviolet",0.254757328645602,0.133753097676748
"MEhoneydew1",0.251446561703187,0.139054443212614
"MEsienna3",0.222426756405872,0.192279266375693
"MElightpink4",-0.21478744249065,0.208396465654035
"MEthistle1",0.205434262018126,0.229372685442875
"MEpaleturquoise",0.191579592705086,0.263004834043804
"MElightsteelblue1",-0.182315026605289,0.287221718902091
"MEcyan",-0.177151368792951,0.301323276625829
"MEdarkred",0.176199262937205,0.303970656867673
"MEmidnightblue",-0.175165477604823,0.306861805912731
"MEred",0.173041236474461,0.312856993467597
"MEsteelblue",-0.169398958839889,0.323306663463318
"MEskyblue3",0.169216921387033,0.323834562311929
"MEmagenta",-0.164929375933673,0.336423030819352
"MEwhite",-0.161852351249091,0.345640010959988
"MEbrown4",0.161644100725095,0.346269309498227
"MElightcyan",-0.160290736369527,0.350375913951396
"MEsalmon4",0.158755009656445,0.355071434836038
"MEpalevioletred3",-0.157718308623241,0.358262510180073
"MEivory",-0.155068167638492,0.366497899106065
"MEskyblue",0.150201898379414,0.381910498934785
"MEdarkgrey",0.145024881263286,0.398716972101385
"MEgreenyellow",-0.139689591379284,0.416474074975746
"MEtan",-0.136944350513326,0.425781665135527
"MEdarkorange2",-0.119341206305997,0.488146074340541
"MEyellowgreen",-0.118186521907218,0.492394628251286
"MEmaroon",-0.116872800830796,0.497251269588286
"MEthistle2",-0.114343116667597,0.506671327720895
"MElavenderblush3",-0.112430402237753,0.513852902798892
"MElightyellow",0.109438044621109,0.525188715632939
"MEplum2",-0.101720575650512,0.554977054135398
"MEdarkslateblue",-0.0939564066260885,0.585718235282035
"MEgreen",0.0931957061475664,0.588770244709556
"MEbisque4",-0.0818551013548196,0.63507528597368
"MEdarkmagenta",0.0755512457456574,0.661432443740039
"MEblue",0.072374351047541,0.674871454431306
"MEdarkturquoise",-0.0675565516668583,0.695441024892493
"MEroyalblue",-0.0555141308581215,0.747772603720335
"MEsalmon",-0.0546893594480823,0.751400794282091
"MEpurple",0.0483761990301272,0.779341311217447
"MElightcyan1",0.0468730009244055,0.786035891364254
"MEmediumpurple3",-0.0451661983835435,0.793655571223158
"MEdarkgreen",0.044949413992199,0.794624725611714
"MEgrey60",0.0433470640640097,0.801797478689319
"MEorangered4",-0.0379195230459733,0.826208798531688
"MEblack",-0.0335921136204228,0.845788890245906
"MEyellow",0.018695957246604,0.913816277523738
"MEpink",0.0156016566642939,0.928039560533827
"MEorange",-0.0140179244966561,0.935328136850162
"MEsaddlebrown",0.0117114232249019,0.945952114906184
"MEdarkolivegreen",-0.0101408265537402,0.953191810388408
"MEturquoise",0.00787201550361554,0.963656306507521
"MEbrown",-0.00285189333020316,0.986829535947958
